"","Day","Station","Min.Delay","Min.Gap","Bound","Line","TTC.clean_time.labeled","Month"
"1","Sunday","ST GEORGE BD STATION","8","12","W","BD","Night","April"
"2","Sunday","KENNEDY BD STATION","3","7","W","BD","Morning","April"
"3","Sunday","PAPE STATION","3","7","E","BD","Afternoon","April"
"4","Sunday","WILSON STATION","4","9","S","YU","Afternoon","April"
"5","Monday","KEELE STATION","7","11","E","BD","Night","April"
"6","Monday","CHRISTIE STATION","3","7","E","BD","Night","April"
"7","Monday","WILSON STATION","11","15","S","YU","Morning","April"
"8","Monday","DUPONT STATION","5","7","S","YU","Morning","April"
"9","Monday","WILSON STATION","8","11","S","YU","Afternoon","April"
"10","Monday","ST GEORGE BD STATION","3","5","E","BD","Afternoon","April"
"11","Monday","YORK UNIVERSITY STATIO","3","5","S","YU","Evening","April"
"12","Monday","DAVISVILLE STATION","3","5","S","YU","Evening","April"
"13","Monday","BAYVIEW STATION","5","11","W","SHP","Evening","April"
"14","Tuesday","MUSEUM STATION","3","5","N","YU","Morning","April"
"15","Tuesday","BAYVIEW STATION","9","14","W","SHP","Morning","April"
"16","Tuesday","YORKDALE STATION","35","38","S","YU","Afternoon","April"
"17","Tuesday","DONLANDS STATION","3","5","W","BD","Afternoon","April"
"18","Tuesday","KIPLING STATION","3","5","W","BD","Afternoon","April"
"19","Tuesday","JANE STATION","7","9","W","BD","Evening","April"
"20","Tuesday","BAYVIEW STATION","7","13","E","SHP","Evening","April"
"21","Tuesday","ST ANDREW STATION","6","9","S","YU","Evening","April"
"22","Tuesday","OSGOODE STATION","3","6","S","YU","Evening","April"
"23","Tuesday","DAVISVILLE STATION","3","6","S","YU","Evening","April"
"24","Tuesday","COXWELL STATION","4","8","W","BD","Evening","April"
"25","Wednesday","ST GEORGE BD STATION","4","8","W","BD","Morning","April"
"26","Wednesday","WILSON STATION","3","5","S","YU","Morning","April"
"27","Wednesday","VICTORIA PARK STATION","3","7","W","BD","Morning","April"
"28","Wednesday","LAWRENCE EAST STATION","5","10","N","SRT","Morning","April"
"29","Wednesday","DUFFERIN STATION","8","11","W","BD","Morning","April"
"30","Wednesday","MIDLAND STATION","4","9","N","SRT","Morning","April"
"31","Wednesday","MIDLAND STATION","4","9","S","SRT","Morning","April"
"32","Wednesday","CHRISTIE STATION","3","5","E","BD","Morning","April"
"33","Wednesday","COXWELL STATION","3","5","W","BD","Morning","April"
"34","Wednesday","VAUGHAN MC STATION","3","6","S","YU","Afternoon","April"
"35","Wednesday","KIPLING STATION","3","6","E","BD","Afternoon","April"
"36","Wednesday","KENNEDY SRT STATION","5","10","S","SRT","Afternoon","April"
"37","Wednesday","SCARB CTR STATION","3","10","S","SRT","Afternoon","April"
"38","Wednesday","BROADVIEW STATION","3","6","E","BD","Afternoon","April"
"39","Wednesday","LAWRENCE STATION","3","5","N","YU","Evening","April"
"40","Wednesday","CHRISTIE STATION","4","6","W","BD","Evening","April"
"41","Wednesday","WILSON STATION","8","11","S","YU","Evening","April"
"42","Wednesday","CHRISTIE STATION","4","6","W","BD","Evening","April"
"43","Wednesday","VICTORIA PARK STATION","9","13","W","BD","Evening","April"
"44","Wednesday","BAYVIEW STATION","5","10","E","SHP","Evening","April"
"45","Wednesday","WARDEN STATION","4","8","W","BD","Evening","April"
"46","Thursday","BLOOR STATION","25","30","N","YU","Night","April"
"47","Thursday","ROYAL YORK STATION","3","5","W","BD","Morning","April"
"48","Thursday","WOODBINE STATION","9","12","W","BD","Morning","April"
"49","Thursday","OSSINGTON STATION","5","8","E","BD","Morning","April"
"50","Thursday","BATHURST STATION","7","12","E","BD","Morning","April"
"51","Thursday","ST GEORGE BD STATION","4","6","E","BD","Morning","April"
"52","Thursday","RUNNYMEDE STATION","6","8","E","BD","Morning","April"
"53","Thursday","CHRISTIE STATION","8","10","W","BD","Morning","April"
"54","Thursday","ST GEORGE BD STATION","13","15","E","BD","Morning","April"
"55","Thursday","CHESTER STATION","3","5","W","BD","Morning","April"
"56","Thursday","CHRISTIE STATION","4","7","E","BD","Afternoon","April"
"57","Thursday","BATHURST STATION","4","6","W","BD","Afternoon","April"
"58","Thursday","SHEPPARD STATION","3","5","N","YU","Afternoon","April"
"59","Thursday","ST GEORGE BD STATION","15","17","W","BD","Afternoon","April"
"60","Thursday","DON MILLS STATION","5","10","W","SHP","Afternoon","April"
"61","Thursday","BATHURST STATION","8","10","E","BD","Evening","April"
"62","Thursday","CHRISTIE STATION","12","14","W","BD","Evening","April"
"63","Thursday","ST GEORGE BD STATION","5","7","E","BD","Evening","April"
"64","Thursday","WILSON STATION","4","6","N","YU","Evening","April"
"65","Thursday","MIDLAND STATION","7","13","N","SRT","Evening","April"
